               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.058963,            0.092631,            0.048564,             0.41934,             0.47177,             0.39757,              0.2089,            0.044106,             0.17726,            0.046297,            0.008812,            0.008812,            0.008812
                  38,            0.052239,            0.093605,            0.048625,             0.45827,             0.47854,             0.41356,             0.22938,             0.04102,             0.17511,            0.046062,            0.008779,            0.008779,            0.008779
                  39,            0.055668,            0.090804,            0.047848,             0.31609,             0.49419,             0.39288,             0.19568,            0.049321,             0.17869,             0.04568,            0.008746,            0.008746,            0.008746
                  40,              0.0533,            0.093656,            0.048315,             0.80366,             0.27111,              0.4343,             0.23432,            0.038771,              0.1767,            0.045575,            0.008713,            0.008713,            0.008713
                  41,            0.046339,            0.095794,            0.047506,             0.82088,             0.27976,             0.42682,             0.23222,              0.0373,             0.17584,            0.045544,             0.00868,             0.00868,             0.00868
                  42,            0.048836,            0.097154,            0.047916,             0.79095,             0.24783,             0.42683,             0.21708,            0.048014,             0.18045,            0.045381,            0.008647,            0.008647,            0.008647
                  43,            0.053749,             0.09733,            0.047462,             0.78394,              0.2989,              0.4187,             0.22285,            0.044795,             0.17476,            0.045268,            0.008614,            0.008614,            0.008614
                  44,            0.047607,             0.08957,             0.04713,             0.74226,             0.27382,             0.38077,             0.17807,            0.053272,             0.17614,            0.044824,            0.008581,            0.008581,            0.008581
                  45,            0.058722,            0.088525,            0.046681,             0.82148,             0.29346,             0.42573,             0.21129,             0.04366,             0.17624,            0.044844,            0.008548,            0.008548,            0.008548
                  46,            0.051312,            0.092117,            0.047447,             0.82052,              0.3007,             0.43301,             0.19205,            0.043109,             0.18048,            0.044681,            0.008515,            0.008515,            0.008515
                  47,            0.046863,            0.089996,            0.046304,             0.75373,             0.27325,             0.41093,             0.20038,            0.047189,              0.1734,            0.044574,            0.008482,            0.008482,            0.008482
                  48,            0.052266,            0.094877,            0.046684,              0.2649,             0.62386,             0.44887,              0.2469,            0.039474,             0.17993,            0.044589,            0.008449,            0.008449,            0.008449
                  49,            0.045869,            0.087425,            0.046002,             0.37111,             0.62549,             0.44614,             0.22025,            0.038612,             0.18385,            0.044356,            0.008416,            0.008416,            0.008416
                  50,            0.044392,            0.089573,            0.045628,             0.27455,             0.61917,              0.4161,             0.20482,            0.047911,             0.18213,            0.044165,            0.008383,            0.008383,            0.008383
                  51,            0.052869,            0.091205,            0.045949,             0.50355,             0.55561,             0.44745,             0.23953,            0.039397,             0.17375,            0.043976,             0.00835,             0.00835,             0.00835
                  52,            0.047421,            0.093685,            0.046043,             0.47624,             0.53488,             0.47342,             0.23568,            0.039802,             0.17568,            0.043732,            0.008317,            0.008317,            0.008317
                  53,            0.044284,            0.088134,            0.045684,             0.79831,             0.26977,             0.43342,             0.23076,            0.045071,             0.18018,            0.043504,            0.008284,            0.008284,            0.008284
