               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031469,            0.074783,            0.011124,             0.88608,             0.91106,             0.95854,             0.57618,            0.033679,             0.18171,            0.012569,            0.070588,            0.003268,            0.003268
                   1,            0.041913,            0.087485,            0.010922,              0.7624,             0.88499,             0.92282,             0.48209,            0.041266,             0.19027,            0.014336,            0.040523,            0.006536,            0.006536
                   2,            0.048096,            0.088879,            0.011558,              0.7431,              0.8395,             0.89059,             0.42429,            0.047141,             0.19499,            0.014075,            0.010392,           0.0097379,           0.0097379
                   3,            0.049946,             0.09694,            0.012211,             0.83764,             0.78125,             0.88218,             0.47179,            0.045387,             0.18971,            0.014063,            0.009703,            0.009703,            0.009703
                   4,            0.042797,             0.09686,            0.012558,             0.76746,             0.93097,             0.91683,             0.43559,            0.046825,             0.19559,            0.014641,            0.009703,            0.009703,            0.009703
                   5,            0.044561,            0.096588,            0.013407,             0.85763,             0.86212,             0.93957,             0.52484,            0.039546,             0.18179,            0.015823,            0.009604,            0.009604,            0.009604
                   6,            0.042091,            0.087849,            0.014045,             0.72181,             0.72968,             0.83612,               0.358,            0.053162,              0.1957,             0.01475,            0.009505,            0.009505,            0.009505
                   7,            0.046487,            0.089186,            0.013783,             0.71788,             0.81002,             0.83045,             0.41109,            0.047668,             0.18176,            0.014594,            0.009406,            0.009406,            0.009406
                   8,            0.047633,            0.087845,            0.014237,             0.85603,             0.90822,             0.95102,              0.4578,            0.043252,             0.18181,            0.014417,            0.009307,            0.009307,            0.009307
                   9,            0.042465,            0.090917,            0.013232,             0.76034,             0.73784,             0.85225,             0.46073,            0.044745,             0.18623,            0.013722,            0.009208,            0.009208,            0.009208
                  10,            0.043437,            0.094585,            0.012511,              0.7464,             0.89029,             0.89155,              0.4889,            0.040842,             0.18953,             0.01397,            0.009109,            0.009109,            0.009109
                  11,            0.039679,            0.089229,            0.013402,              0.7304,             0.89167,             0.89788,             0.45122,            0.041143,              0.1924,            0.014214,             0.00901,             0.00901,             0.00901
                  12,            0.040034,            0.089002,            0.013978,             0.89379,             0.88917,             0.95291,             0.50493,            0.040596,             0.19022,            0.014146,            0.008911,            0.008911,            0.008911
                  13,            0.040115,            0.092122,            0.012652,             0.86407,             0.92051,              0.9395,             0.52203,            0.037166,             0.18654,            0.014023,            0.008812,            0.008812,            0.008812
                  14,            0.040886,             0.08808,            0.013581,             0.83164,             0.93785,              0.9338,             0.43836,             0.04236,             0.17947,            0.014291,            0.008713,            0.008713,            0.008713
                  15,            0.044659,            0.087779,            0.012252,             0.85923,             0.92204,             0.94635,             0.46554,            0.042351,             0.17588,            0.014541,            0.008614,            0.008614,            0.008614
                  16,            0.041342,            0.089861,            0.012448,             0.64039,             0.86348,             0.84443,             0.41176,            0.048766,             0.18366,            0.014852,            0.008515,            0.008515,            0.008515
                  17,            0.043868,             0.08851,            0.012183,             0.87148,             0.78273,             0.89903,             0.50221,            0.038006,             0.17455,            0.015026,            0.008416,            0.008416,            0.008416
                  18,            0.042827,            0.086423,            0.012928,             0.86108,             0.82759,             0.92498,             0.47665,             0.04025,             0.18404,            0.014777,            0.008317,            0.008317,            0.008317
                  19,            0.040763,            0.089075,            0.013204,             0.72149,             0.84768,             0.88293,              0.4445,            0.043764,             0.18647,            0.014441,            0.008218,            0.008218,            0.008218
                  20,            0.043361,            0.090133,            0.012271,             0.80917,             0.86842,             0.92137,             0.50373,            0.037494,             0.17495,            0.014781,            0.008119,            0.008119,            0.008119
                  21,            0.039114,             0.08853,            0.013282,             0.85144,             0.85964,             0.90142,             0.42111,            0.043219,             0.19372,             0.01464,             0.00802,             0.00802,             0.00802
                  22,            0.039304,            0.082683,            0.012844,              0.8982,             0.86198,             0.94733,             0.55084,            0.035017,             0.17483,            0.014117,            0.007921,            0.007921,            0.007921
                  23,            0.038771,            0.082741,             0.01402,             0.91945,             0.88848,             0.95961,             0.52123,              0.0386,             0.18926,            0.013447,            0.007822,            0.007822,            0.007822
                  24,            0.039618,            0.088004,            0.012779,             0.94697,             0.86324,             0.95339,             0.50018,            0.041365,             0.18429,            0.013727,            0.007723,            0.007723,            0.007723
                  25,            0.040687,            0.085063,            0.011003,             0.94276,             0.85713,              0.9476,               0.531,             0.03706,             0.17523,            0.013976,            0.007624,            0.007624,            0.007624
                  26,            0.037228,            0.084413,             0.01222,             0.91942,             0.87085,               0.944,             0.48747,            0.039737,              0.1877,            0.015062,            0.007525,            0.007525,            0.007525
                  27,            0.038746,            0.082679,             0.01187,             0.90992,             0.86849,             0.95145,              0.5467,            0.036542,             0.17411,             0.01447,            0.007426,            0.007426,            0.007426
                  28,             0.04069,            0.086651,            0.013136,             0.90052,             0.86727,             0.95019,             0.50321,             0.04181,             0.18327,            0.014444,            0.007327,            0.007327,            0.007327
                  29,            0.039363,            0.082762,            0.012576,             0.78754,             0.82433,             0.91933,             0.47626,            0.042907,             0.18248,            0.015122,            0.007228,            0.007228,            0.007228
                  30,            0.042209,            0.086357,            0.011377,             0.86743,             0.86063,             0.94112,              0.5386,            0.037721,             0.17429,            0.015339,            0.007129,            0.007129,            0.007129
                  31,            0.035211,             0.07959,            0.010704,             0.89675,             0.87437,             0.94766,              0.4814,            0.040794,             0.18588,            0.013865,             0.00703,             0.00703,             0.00703
                  32,            0.038897,            0.090318,             0.01168,             0.91574,             0.88986,             0.95221,             0.58066,            0.035027,             0.17269,            0.013469,            0.006931,            0.006931,            0.006931
                  33,            0.038269,            0.086564,             0.01211,             0.90647,             0.90414,             0.95263,             0.49102,            0.039007,             0.18361,             0.01358,            0.006832,            0.006832,            0.006832
                  34,             0.03813,            0.083418,            0.011333,             0.84463,             0.93086,             0.94268,             0.48109,            0.042123,             0.18098,            0.014779,            0.006733,            0.006733,            0.006733
                  35,            0.041495,            0.090229,            0.011199,             0.84688,              0.9341,             0.94024,             0.54204,            0.037061,              0.1746,            0.014807,            0.006634,            0.006634,            0.006634
                  36,            0.035331,            0.082911,            0.011539,             0.84612,             0.87697,             0.92874,             0.49946,            0.039167,             0.18544,            0.014617,            0.006535,            0.006535,            0.006535
                  37,            0.037133,            0.084322,            0.011069,             0.87752,             0.87334,              0.9439,             0.56493,            0.035492,             0.17704,            0.014426,            0.006436,            0.006436,            0.006436
                  38,            0.036143,            0.082108,            0.010773,             0.85515,              0.9431,             0.94446,              0.4967,            0.040512,             0.18486,            0.014516,            0.006337,            0.006337,            0.006337
                  39,            0.037166,            0.082953,            0.012032,             0.78717,             0.81292,              0.8778,             0.49163,            0.040999,             0.18085,            0.015461,            0.006238,            0.006238,            0.006238
                  40,            0.038348,            0.086146,            0.010605,             0.88545,             0.89668,             0.93641,              0.5648,            0.035053,             0.17673,            0.015401,            0.006139,            0.006139,            0.006139
                  41,            0.033676,            0.075832,             0.00978,              0.8852,             0.88746,             0.94408,             0.51647,            0.038598,             0.18404,            0.015263,             0.00604,             0.00604,             0.00604
                  42,            0.038012,             0.08532,            0.011131,             0.90892,             0.88353,             0.94328,             0.57327,             0.03584,             0.17825,            0.014694,            0.005941,            0.005941,            0.005941
                  43,            0.036506,            0.082663,            0.010221,             0.86353,             0.89032,             0.93325,             0.48977,            0.042294,             0.18416,            0.014683,            0.005842,            0.005842,            0.005842
                  44,            0.037874,            0.084955,            0.011167,             0.88844,             0.91365,             0.94672,             0.53839,            0.036799,             0.17601,              0.0142,            0.005743,            0.005743,            0.005743
                  45,            0.037703,            0.084194,            0.011526,             0.88621,             0.89128,             0.94312,             0.55413,            0.036093,             0.17881,            0.014335,            0.005644,            0.005644,            0.005644
                  46,            0.034991,            0.081075,            0.010403,             0.78077,             0.85517,             0.91174,             0.53126,            0.040863,             0.18194,            0.014843,            0.005545,            0.005545,            0.005545
                  47,            0.038321,            0.082516,            0.011054,             0.87826,             0.90376,             0.94225,             0.57091,            0.035182,             0.17725,            0.015132,            0.005446,            0.005446,            0.005446
                  48,            0.036188,            0.077936,            0.011051,             0.86855,             0.90212,              0.9462,             0.54712,            0.037789,             0.18452,            0.015432,            0.005347,            0.005347,            0.005347
                  49,            0.036557,            0.083186,            0.010432,             0.84064,             0.92282,             0.93619,             0.58615,            0.034534,             0.17629,            0.015773,            0.005248,            0.005248,            0.005248
                  50,             0.03567,            0.078542,            0.010531,             0.87844,              0.9237,             0.93633,             0.55951,            0.035599,             0.17974,            0.015298,            0.005149,            0.005149,            0.005149
                  51,            0.033486,            0.079526,            0.010737,             0.89265,              0.9142,             0.94835,             0.56247,            0.034979,             0.18393,            0.014585,             0.00505,             0.00505,             0.00505
