               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049118,            0.098728,             0.05096,             0.75951,             0.26755,             0.36812,             0.17706,            0.053249,             0.19278,            0.046414,           0.0091337,           0.0091337,           0.0091337
                  37,            0.053953,            0.099942,            0.050426,             0.65607,             0.38726,             0.38449,             0.18872,            0.042717,             0.17523,            0.046303,            0.009109,            0.009109,            0.009109
                  38,            0.050896,            0.098865,            0.049974,             0.40987,             0.47973,             0.33765,             0.14216,            0.051718,             0.17993,            0.045871,           0.0090843,           0.0090843,           0.0090843
                  39,            0.052069,            0.099024,            0.050276,             0.80443,             0.29696,             0.40787,             0.20129,            0.043102,             0.17792,            0.045641,           0.0090595,           0.0090595,           0.0090595
                  40,            0.049069,             0.10214,            0.050133,             0.54368,             0.43634,             0.41766,             0.21161,            0.040308,             0.17567,            0.045578,           0.0090347,           0.0090347,           0.0090347
                  41,            0.047179,            0.090209,            0.048836,             0.42292,             0.53333,             0.37966,             0.17398,             0.05601,             0.18143,            0.045213,             0.00901,             0.00901,             0.00901
                  42,             0.05754,            0.097893,            0.049162,             0.38979,             0.55564,             0.37978,             0.19383,            0.044494,             0.16953,            0.045102,           0.0089853,           0.0089853,           0.0089853
                  43,             0.05317,            0.098106,            0.049623,             0.75459,             0.28702,             0.39979,             0.18089,            0.052216,             0.18561,             0.04469,           0.0089605,           0.0089605,           0.0089605
                  44,            0.051168,             0.10139,            0.048833,             0.78746,             0.29696,             0.40761,             0.19066,            0.043809,             0.17982,            0.044659,           0.0089358,           0.0089358,           0.0089358
                  45,            0.049678,            0.099426,             0.04916,             0.67353,             0.41318,             0.43506,             0.23811,            0.039008,             0.17851,            0.044749,            0.008911,            0.008911,            0.008911
                  46,            0.046904,            0.096535,            0.048689,             0.41895,              0.5551,             0.39499,             0.19317,            0.048613,             0.17471,            0.044481,           0.0088863,           0.0088863,           0.0088863
                  47,             0.05342,            0.097453,            0.049458,             0.38081,              0.5335,             0.42592,             0.21196,            0.041713,             0.17528,            0.044199,           0.0088615,           0.0088615,           0.0088615
                  48,             0.04775,            0.092613,            0.049066,             0.41662,             0.53359,              0.4181,             0.21532,            0.042625,             0.17473,            0.044279,           0.0088368,           0.0088368,           0.0088368
                  49,            0.048694,            0.097414,            0.048754,             0.44064,             0.50758,             0.41211,             0.20579,            0.038746,              0.1726,            0.044109,            0.008812,            0.008812,            0.008812
                  50,            0.049759,             0.09189,            0.048334,             0.52466,             0.50258,             0.40468,             0.21834,            0.041746,             0.17462,            0.044031,           0.0087872,           0.0087872,           0.0087872
                  51,            0.045542,            0.093939,            0.048685,             0.34122,              0.5577,             0.45162,             0.21648,            0.044091,             0.19375,             0.04366,           0.0087625,           0.0087625,           0.0087625
                  52,            0.047261,             0.10136,            0.048123,             0.47759,             0.49167,             0.44907,             0.23586,            0.036643,             0.17352,            0.043341,           0.0087378,           0.0087378,           0.0087378
                  53,            0.042361,            0.098745,            0.047185,             0.36542,             0.53889,             0.43002,             0.23006,            0.039762,             0.19006,            0.043173,            0.008713,            0.008713,            0.008713
                  54,            0.043225,             0.10246,              0.0482,             0.56826,             0.48408,             0.41402,             0.23794,            0.035039,             0.17229,            0.042921,           0.0086882,           0.0086882,           0.0086882
                  55,            0.043584,            0.099294,            0.047491,             0.29057,             0.52778,             0.40706,              0.2142,            0.039826,             0.17803,            0.042714,           0.0086635,           0.0086635,           0.0086635
                  56,            0.043918,            0.097827,            0.047205,              0.3033,             0.55702,             0.40084,             0.18725,            0.045787,             0.17565,            0.042445,           0.0086388,           0.0086388,           0.0086388
                  57,            0.048381,            0.093533,            0.048251,             0.41151,             0.51602,             0.44249,             0.23963,            0.036638,             0.16935,            0.042439,            0.008614,            0.008614,            0.008614
