               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12283,            0.094675,            0.068426,           0.0047667,             0.18685,           0.0043697,          0.00094713,             0.11501,             0.22589,            0.067551,            0.070698,           0.0032558,           0.0032558
                   1,             0.11289,             0.11886,            0.066524,           0.0097533,             0.36526,            0.014233,           0.0039768,             0.10057,             0.24944,            0.066366,            0.040676,           0.0065674,           0.0065674
                   2,              0.1038,              0.1311,            0.064618,             0.12056,            0.049286,            0.025073,           0.0073984,             0.10075,             0.27376,            0.067045,            0.010632,            0.009857,            0.009857
                   3,             0.10133,             0.11477,            0.062925,             0.03352,             0.27266,            0.033331,           0.0088442,            0.095552,             0.27018,            0.064524,            0.009901,            0.009901,            0.009901
                   4,             0.10097,             0.11393,            0.060871,            0.020565,             0.66835,            0.041242,           0.0098602,            0.091644,              0.2062,            0.060341,            0.009901,            0.009901,            0.009901
                   5,            0.099471,             0.10741,             0.05905,            0.023149,             0.27283,            0.029143,            0.007957,            0.097176,             0.23628,            0.058553,            0.009868,            0.009868,            0.009868
                   6,            0.095522,             0.10293,            0.058611,            0.062785,             0.32859,            0.085968,            0.030432,            0.087421,             0.19668,            0.057371,            0.009835,            0.009835,            0.009835
                   7,            0.095767,            0.096454,            0.057324,             0.11558,             0.16354,            0.033163,           0.0072497,            0.089804,             0.19942,            0.055216,            0.009802,            0.009802,            0.009802
                   8,            0.093021,            0.095885,             0.05566,             0.45064,             0.22437,             0.10781,            0.028537,            0.090093,             0.17314,            0.054551,            0.009769,            0.009769,            0.009769
                   9,            0.084719,            0.099944,            0.055993,             0.36471,             0.36121,             0.11148,            0.040677,            0.071596,             0.19464,            0.054132,            0.009736,            0.009736,            0.009736
                  10,            0.085841,            0.096883,            0.055751,             0.43831,             0.15036,            0.065325,             0.02137,            0.090677,             0.19563,            0.054056,            0.009703,            0.009703,            0.009703
                  11,            0.085534,            0.098752,            0.054681,             0.35441,             0.25882,             0.18117,            0.061071,            0.065503,             0.19114,             0.05352,             0.00967,             0.00967,             0.00967
                  12,            0.072575,             0.10131,            0.053403,             0.21133,             0.57077,             0.13055,             0.04239,            0.073691,             0.17986,            0.052901,            0.009637,            0.009637,            0.009637
